image_filename,日文名字 Japanese Name,中文名字 Chinese Name,类型 Type,相关作品 Relevant Work,相关人物 Relevant Character,相关柄图 Relevant Image,Releaser/Event 发行商,发行日期 Release Year/Date,发行价格 Release Price (JPY),发行地区 Release Area,信息来源 Resource,详细信息 Detailed Information
060.jpg,,繁中版《去家庭餐厅吧 上》首刷限定版 特典 明信片 （一套4张）,纸片子,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实","聪实 狂儿 郁金香松饼咖啡 , 聪实 狂儿 咲茶店对视, 狂儿 吃咖喱, 聪实 萨莉亚 接饮料",,10/7/24,N/A 赠品,台湾,https://www.books.com.tw/products/0010999939?sloc=main,明信片 約15*10CM 紙
061.jpg,,繁中版《去家庭餐厅吧。上》首刷限定版 特典 成田狂儿 烫金明信片,名片/名片夹,"去家庭餐厅吧/去恰饭吧 （漫画）, 去唱卡拉OK吧 （漫画）",成田狂儿,,,10/7/24,N/A 赠品,台湾,https://www.books.com.tw/products/0010999939?sloc=main,燙金名片 約9*5.4CM 紙
062.jpg,,繁中版《去家庭餐厅吧。上》首刷限定版 书店特典 海报,海报,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,,10/7/24,N/A 赠品,台湾,,尺寸：28*61cm
063.jpg,,东立出版社 满赠【LOVE FOR U】文件夹,文件夹,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,,10/14/24,N/A 赠品,台湾,https://gnn.gamer.com.tw/detail.php?sn=275437,"東立出版社今日宣布，2024 年東立全品項通路活動「買慶祭」正式開跑的消息，即日起於活動店家購買東立全品項商品（含漫畫、小說、週邊，特殊商品除外），滿額即隨機贈送「LOVE for U」多功能資料夾。
「LOVE for U」多功能資料夾便是由「L 夾」與「U 型夾」的結合而成，除了防水 PP 材質完全不用擔心手滑打翻水或飲料之外，精美印刷也忠實呈現各作品的絕美彩圖！
關於博客來、金石堂、momo 等網路書店的活動辦法則請以該店官方網站公告為主。只要在活動店家購買東立全品項商品(含漫畫、小說、精品，特殊商品除外)，滿 359 元就能獲得 1 份。"
064.jpg,,韩文版 《去家庭餐厅吧。上》首限 随书附赠 小卡（一套2张）,小卡,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实","聪实 狂儿 散散步吧, 狂儿 吃咖喱",,3/28/24,N/A 赠品,韩国,,尺寸：55*85mm
065.jpg,,"韩文版 《去家庭餐厅吧。上》首限 书店满赠
教保书店：收据书签",书签,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,,3/28/24,N/A 赠品,韩国,https://x.com/mundongcomics/status/1773177091145564177,"包括《去家庭餐厅吧 上》在内，所有书籍价格均超过15,000韩元。购买商品即可获赠礼品。
《去家庭餐厅吧 上》韩文版首限价格 7650 韩币"
066.jpg,,"韩文版 《去家庭餐厅吧。上》首限 书店满赠
阿拉丁：亚克力门把手",亚克力立牌/亚克力板,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,,3/28/24,N/A 赠品,韩国,https://x.com/mundongcomics/status/1773177091145564177,"包括《去家庭餐厅吧 上》在内，所有书籍价格均超过15,000韩元。购买商品即可获赠礼品。
《去家庭餐厅吧 上》韩文版首限价格 7650 韩币"
067.jpg,,"韩文版《去家庭餐厅吧。上》首限 书店满赠
Yes24：亚克力磁铁冰箱贴",亚克力磁吸（冰箱贴）,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,,3/28/24,N/A 赠品,韩国,https://x.com/mundongcomics/status/1773177091145564178,"包括《去家庭餐厅吧 上》在内，所有书籍价格均超过15,000韩元。购买商品即可获赠礼品。
《去家庭餐厅吧 上》韩文版首限价格 7650 韩币"
068.jpg,,和山山韩国签名会伴手礼 纸袋,收纳袋,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 咲茶店对视,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055914,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 和山山韩国签名会伴手礼 4/6/2024

尺寸： 260*360*100mm"
069.jpg,,和山山韩国签名会伴手礼 A3海报,海报,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055914,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 《去家庭餐厅吧。上》地铁站打卡活动 奖品 3/25/2024
- 和山山韩国签名会伴手礼 4/6/2024

尺寸：A3"
070.jpg,,和山山韩国签名会伴手礼 A5签名板,亚克力立牌/亚克力板,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055914,"和山山2024.4.6 韩国签名会伴手礼：
- 韩文版《一起去家庭餐厅吧》首刷限定版 （特典：狂儿&聪实双面小卡）
- 纸袋 260*360*100mm
- 签名板 A5 （和山山签名用）
- 贴纸 （一套2种） 120*240mm/哑光
- 眼镜布 180*150mm
- ‘猫猫恐慌：真棒~’ 硅藻泥杯垫  106*106mm 圆形
- ‘聪实：很不高兴见到你’ 亚克力钥匙扣 70*50mm"
071.jpg,,和山山韩国签名会伴手礼 钥匙环,亚克力挂件/钥匙环,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 萨莉亚 很不高兴见到你,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055915,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 和山山韩国签名会伴手礼 4/6/2024

尺寸： ‘聪实：很不高兴见到你’ 亚克力钥匙扣 70*50mm"
072.jpg,,和山山韩国签名会伴手礼 硅藻泥杯垫,杯垫（硅藻泥）,去家庭餐厅吧/去恰饭吧 （漫画）,成田狂儿,猫猫恐慌：真棒~,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055916,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 和山山韩国签名会伴手礼 4/6/2024

尺寸： ‘猫猫恐慌：真棒~’ 硅藻泥杯垫  106*106mm 圆形"
073.jpg,,和山山韩国签名会伴手礼 眼镜布,眼镜布/眼镜盒,去家庭餐厅吧/去恰饭吧 （漫画）,冈聪实,聪实 萨莉亚 接饮料,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055917,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 和山山韩国签名会伴手礼 4/6/2024

尺寸： 180*150mm"
074.jpg,,和山山韩国签名会伴手礼 贴纸,贴纸,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",狂儿 递表,Munhakdong 文鹤洞出版社,4/6/24,N/A 赠品,韩国,https://smartstore.naver.com/munhak210/products/10037055918,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 和山山韩国签名会伴手礼 4/6/2024

尺寸： （一套2种） 120*240mm/哑光"
075.jpg,,《去家庭餐厅吧。上》封面 亚克力挂件,亚克力挂件/钥匙环,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,Munhakdong 文鹤洞出版社,4/12/24,N/A 赠品,韩国,https://stibee.com/api/v1.0/emails/share/tL2MTYKlq811FF-ZUmaP3U5vLW3Rs48,"- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛奖品 6/11/2024
- 对《去家庭餐厅吧。》下集的剧情走向猜想大赛奖品 4/12/2024"
076.jpg,,和山山亲笔签名书 韩文版《一起去家庭餐厅吧。上》,"书, 亲签",去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 散散步吧,Munhakdong 文鹤洞出版社,6/11/24,N/A 赠品,韩国,https://stibee.com/api/v1.0/emails/share/tL2MTYKlq811FF-ZUmaP3U5vLW3Rs48,- 《去唱卡拉OK吧！》《去家庭餐厅吧。上》读者评论大赛特等奖奖品 6/11/2024
077.jpg,ファミレス行こ。 上 アクリルスタンド付き特装版 (ビームコミックス),恰饭 日文 特装版 亚克力立牌,亚克力立牌/亚克力板,去家庭餐厅吧/去恰饭吧 （漫画）,"成田狂儿, 冈聪实",聪实 狂儿 中餐馆点单,,9/4/23,N/A 赠品,日本,https://x.com/YamaWayama_PR/status/1698716692212596944,日文版《去家庭餐厅吧。上》特装版 特典
078.jpg,,A6 复制原画,复制原画,"去唱卡拉OK吧 （漫画）, 去家庭餐厅吧/去恰饭吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 二阶堂明, 目高优一",聪实 狂儿 确认背后抱,ダ・ヴィンチストア 达芬奇书店,11/12/25,N/A 赠品,日本,https://x.com/COMIC_BEAM/status/1987007168084943244,"Comic Beam 30周年纪念
线下达芬奇商店展览会确认举办！
凡购买一本Comics Beam漫画，即可获赠一套“三件套A6尺寸原作迷你复制画”（三款可选）！
A 篇
・一起去卡拉OK吧！
・解剖怪兽
・Evol
B 篇
・Lost in You.
・过度
・绿之歌 - 丰收之风 -
C 篇
・我们去家庭餐厅吧。
・疯狂山脉　洛夫克拉夫特杰作
・何时才能戳破煎蛋的蛋黄？
 活动时间
11/12（周三）～12/12（周五）
※活动时间、可领取漫画及领取方式可能会有所变更。
※赠品数量有限，送完即止。感谢您的理解。"
079.jpg,,为你着迷 特典,纸片子,为你着迷（漫画）,目高优一,,HMV&BOOKS,,,日本,,
080.jpg,,为你着迷 特典,纸片子,为你着迷（漫画）,二阶堂明,,ジュンク堂書店 淳久堂书店,,,日本,,
081.jpg,,为你着迷 特典,纸片子,为你着迷（漫画）,林美良,,カドスト Kadokawa 角川商店,,,日本,,
082.jpg,,繁中版《女校之星1》首刷限定版 特典 【班级日志】明信片套组 （一套3张）,纸片子,女校之星（漫画）,星老师,,,10/15/21,N/A 赠品,台湾,https://www.books.com.tw/products/0010902261?sloc=main,
083.jpg,,繁中版《女校之星2》首刷限定版 特典 四宫格 （一套2款：小林老师 & 星老师）,"纸片子, X宫格",女校之星（漫画）,"小林老师, 星老师",,,9/30/22,N/A 赠品,台湾,https://search.books.com.tw/redirect/move/key/%E5%92%8C%E5%B1%B1%E3%82%84%E3%81%BE/area/mid/item/0010935245/page/1/idx/20/cat/001/pdf/0/spell/3,
084.jpg,,繁中版《女校之星3》首刷限定版 特典 【老师的彩图录】相卡组（一套4张）,纸片子,女校之星（漫画）,"小林老师, 星老师","星老师 生日, 小林星 打扫卫生, 小林老师 红Polo",,9/4/23,N/A 赠品,台湾,https://www.books.com.tw/products/0010966167?sloc=main,相卡組4入 約10*15cm 紙質
085.jpg,,繁中版《女校之星4》首刷限定版 特典 烫金拍立得 （一套7张）,拍立得,女校之星（漫画）,"小林老师, 星老师, 中村老师","星老师 捧饭团, 小林老师 举排球, 中村老师",,10/2/25,N/A 赠品,台湾,https://www.books.com.tw/products/0011031724?sloc=main,
086.jpg,,繁中版《女校之星4》首刷限定版 随书附赠序号卡抽奖奖品 和山やま老師「複製簽名壓克力畫板」,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,,10/2/25,N/A 赠品,台湾,https://www.instagram.com/p/DPSwY1tk4IA/?img_index=1,"👓首刷限定版附錄 ☆抽獎序號卡
👓抽獎獎品是和山やま老師「複製簽名壓克力畫板」
☆抽獎參加方法：
首刷限定版或普通版均附序號卡一張，只要掃描序號卡上QR-Code進入表單，並於2025年10月31日午夜前填畢線上回函，即可參加抽獎（詳細規則請見表單）！
而獎品為限量製作的「複製簽名壓克力畫板」，快來參加回函活動吧！
"
087.jpg,,越南版 《去唱卡拉OK吧》随书附赠 人物书签 + 明信片*2,纸片子,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实","聪实 狂儿 TV对视, 聪实 狂儿 雨中撑伞",,,,越南,,
088.jpg,,简中版《去唱卡拉OK吧！》随书附赠,纸片子,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实",,,,,大陆,,
089.jpg,,简中版《为你着迷》随书附赠,纸片子,为你着迷（漫画）,二阶堂明,,,,,大陆,,
090.jpg,,越南版《为你着迷》随书附赠 明信片 + 人物书签*2,纸片子,为你着迷（漫画）,"二阶堂明, 目高优一",二阶堂 运动衣,,,,越南,,
091.jpg,,简中版《女校之星 1》随书附赠,纸片子,女校之星（漫画）,"小林老师, 星老师",小林星 放大镜,,,,大陆,,
092.jpg,,简中版《女校之星 2》随书附赠,"贴纸, 小卡, 纸片子",女校之星（漫画）,"小林老师, 星老师, 中村老师","星老师 锹甲虫幸运男孩, 星老师 生日, 女校之星 地铁, 中村老师",,,,大陆,,
093.jpg,,简中版《女校之星》茑屋 书店 活动 特典 杯套,杯套,女校之星（漫画）,"小林老师, 星老师",小林星 擦黑板,,,,大陆,,- ”老师好“ 《女校之星》茑屋线下特别活动   9/13/2025
094.jpg,,简中版《女校之星》茑屋 书店 活动 特典 老师好 透卡,透卡,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,,,,大陆,,- ”老师好“ 《女校之星》茑屋线下特别活动   9/13/2025
095.jpg,,越南版 《女校之星 1》首限 特典 贴纸,贴纸,女校之星（漫画）,"小林老师, 星老师",,,,,越南,,
096.jpg,,越南版《女校之星 3》随书附赠 明信片,纸片子,女校之星（漫画）,"小林老师, 星老师",小林星 打扫卫生,,,,越南,,
097.jpg,,越南版《女校之星 3》随书附赠 海报,纸片子,女校之星（漫画）,"小林老师, 星老师",女校之星 地铁,,,,越南,,
098.jpg,,日文版 《女校之星 2》发行 书店 特典,纸片子,女校之星（漫画）,小林老师,,アニメイト Animate A店,5/8/21,N/A 赠品,日本,,
099.jpg,,日文版 《女校之星 2》发行 Comirano企划 特典,纸片子,女校之星（漫画）,星老师,,,5/8/21,N/A 赠品,日本,,
100.jpg,,日文版 《女校之星 2》发行 书店 特典,纸片子,女校之星（漫画）,"小林老师, 星老师",,クとらのあな 虎穴 Toraoana,5/8/21,N/A 赠品,日本,,
101.jpg,,日文版 《女校之星 3》发行 书店 特典,纸片子,女校之星（漫画）,星老师,,アニメイト Animate A店,12/8/22,N/A 赠品,日本,,
102.jpg,,日文版 《女校之星 3》发行 Comirano企划 特典,贴纸,女校之星（漫画）,星老师,,,12/8/22,N/A 赠品,日本,,
103.jpg,,日文版 《女校之星 3》发行 各大书店 特典 ,纸片子,女校之星（漫画）,"小林老师, 星老师",,,12/8/22,N/A 赠品,日本,,
104.jpg,,日文版 《女校之星 3》发行 书店 特典,纸片子,女校之星（漫画）,,,ポータルTSUTAYA蔦屋書店,12/8/22,N/A 赠品,日本,,
105.jpg,,日文版 《女校之星 4》 首限 随书附赠 特典纸,纸片子,女校之星（漫画）,中村老师,,,10/8/24,N/A 赠品,日本,,
106.jpg,,韩文版《女校之星2》首刷特典 随书附赠 贴纸,贴纸,女校之星（漫画）,星老师,星老师 12宫格,,4/21/22,N/A 赠品,韩国,https://x.com/mundongcomics/status/1517332269220122625,
107.jpg,"〈가라오케 가자!〉〈빠졌어, 너에게〉 조각스티커 팩",《去唱卡拉OK吧》《为你着迷》贴纸包,贴纸,"去唱卡拉OK吧 （漫画）, 为你着迷（漫画）","成田狂儿, 冈聪实, 林美良, 二阶堂明, 目高优一","聪实 狂儿 TV对视, 聪实 蒙娜丽莎 , 狂儿 聪实纹身, 聪实 狂儿 “地狱可真热啊”",,9/17/25,N/A 赠品,韩国,https://www.aladin.co.kr/events/wevent.aspx?EventId=295409,"韩国阿拉丁书店为庆祝《去唱卡拉OK吧》和《为你着迷》动画版开播特别推出的满赠礼品：购买漫画类商品满 15,000 韩元或以上获赠贴纸一包"
108.jpg,,女校之星 三个老师（星、小林、中村）立牌韩国版,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,《女校之星4》发行,4/1/25,N/A 赠品,韩国,"나왔다 하면 화제, 바로 그 만화 봄과 함께 돌아온 <#여학교의별> 🌟 가장 새로운 이야기","韩国aladin book：凡购买漫画类商品（含单行本）满15,000韩元以上，即可获赠，先到先得"
109.jpg,,女校之星 三个老师（星、小林、中村）立牌日本版,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,《女校之星4》发行,,N/A 赠品,日本,https://x.com/munhakdongne/status/1907253408589124008,日文版《女校之星 4》特装版特典
110.jpg,,女校之星 三个老师（星、小林、中村）磁吸亚克力冰箱贴,亚克力磁吸（冰箱贴）,女校之星（漫画）,"小林老师, 星老师, 中村老师",3个老师：星&小林&中村,《女校之星4》发行,4/1/25,N/A 赠品,韩国,https://x.com/munhakdongne/status/1907253408589124009,"韩国Kyobo书店赠品
亚克力插画磁贴（磁铁附于亚克力板背面）
尺寸：4.0 x 4.0 厘米（厚 7 毫米）"
111.jpg,,女校之星 小林老师和星老师透明亚克力方形杯垫,杯垫（亚克力）,女校之星（漫画）,"小林老师, 星老师",小林星 夏威夷衫,《女校之星4》发行,4/1/25,N/A 赠品,韩国,https://x.com/munhakdongne/status/1907253408589124010,"韩国 예스24/Yes24书店赠品
亚克力方形透明杯垫
尺寸："
112.jpg,,女校之星 A3海报 共四款,海报,女校之星（漫画）,"小林老师, 星老师, 中村老师","小林星 夏威夷衫, 小林星 比心, 3个老师：星&小林&中村",《女校之星4》发行,4/1/25,N/A 赠品,韩国,https://x.com/munhakdongne/status/1907253408589124011,"韩国Comiczone:书店赠品
A3海报（共4款）"
113.jpg,,女校之星 A3海报 共3款,海报,女校之星（漫画）,"小林老师, 星老师","小林星 放大镜, 小林星 打扫卫生, 星老师 12宫格",,7/18/23,N/A 赠品,韩国,https://x.com/comiczone1/status/1681140224016150528,"韩国Comiczone: 书店赠品
A3海报（共3款）

赠品条件：购买活动书籍即可获赠海报一张（不适用折扣和积分）

※在 Comic Zone 线下门店，请在结账前表明参与活动的意愿方可领取赠品。

※活动地点：Comic Zone 新林店、Comic Zone 线上商城

※线上活动时间：7月18日 - 赠完为止

※线下门店活动时间：7月18日 - 赠完为止

※本商品预计将于7月18日到货线下门店。

※每购买一本活动书籍，即可获赠一张 Comic Zone 特别海报。"
114.jpg,紀伊國屋書店限定イラストカード,小林老师&星老师打扫卫生明信片,纸片子,女校之星（漫画）,"小林老师, 星老师",小林星 打扫卫生,《女校之星3》发行,12/8/22,N/A 赠品,日本,https://store.kinokuniya.co.jp/event/1667885773/,日本纪伊国书屋购入特典 尺寸：305mm*440mm
115.jpg,교보문고 단독 고바야시 & 호시 선생님 패브릭포스터,小林老师&星老师打扫卫生挂布,帆布挂画,女校之星（漫画）,"小林老师, 星老师",小林星 打扫卫生,《女校之星3》发行,5/14/23,N/A 赠品,韩国,https://x.com/kyobobookstory/status/1657937270736031744,韩国Kyobo书店赠品
116.jpg,특전 <호시선생님 멜라민 트레미> 증정,星老师塑料小盘子,收纳盘,女校之星（漫画）,星老师,,《女校之星3》发行,5/15/23,N/A 赠品,韩国,https://x.com/yes24_official/status/1657990287095128066,"韩国 예스24/Yes24书店购买《女校之星3》及其他漫画，总价超过20,000韩元，即可获得独家赠品。"
117.jpg,,小林老师&星老师马克杯,马克杯,女校之星（漫画）,"小林老师, 星老师",,《女校之星3》发行,,N/A 赠品,韩国,,韩国aladin book 阿拉丁书店提前预购赠品
118.jpg,,RidiBook 韩文版《女校之星1-4》电子版购买者 周边申请抽赏 小林老师&星老师亚克力立牌,亚克力立牌/亚克力板,女校之星（漫画）,"小林老师, 星老师",小林星 夏威夷衫,,4/3/25,N/A 赠品,韩国,https://x.com/vvvewww/status/1907603030918517006,"韩国 Ridibook《女校之星》周边申请活动
※申请周边前，请确保您已拥有全部《女子学园的星光》电子书（第1-4卷）！
*我们将从所有申请者中随机抽取10名幸运儿赠送亚克力立牌和1000名幸运儿赠送任意一张小卡。中奖者将于4月23日（周三）下午6点左右收到通知。
*周边预计将于5月陆续寄出。
*详情请参阅活动页面。
https://ridibooks.com/event/80526
① 申请周边；② 完成付款并下载全部《女子学园的星光》电子书（第1-4卷）即可成功申请。
- 小卡将随机发放，共五种，不可选择或更换。
2025年4月3日凌晨00:56至2025年4月17日凌晨00:00"
119.jpg,,RidiBook 韩文版《女校之星1-4》电子版购买者 周边申请抽赏 小卡 （一共6种）,"纸片子, 小卡",女校之星（漫画）,"小林老师, 星老师","小林星 比心, 奶茶/节子, 小林老师 举排球",,4/3/25,N/A 赠品,韩国,https://x.com/vvvewww/status/1907603030918517006,"韩国 Ridibook《女校之星》周边申请活动
※申请周边前，请确保您已拥有全部《女子学园的星光》电子书（第1-4卷）！
*我们将从所有申请者中随机抽取10名幸运儿赠送亚克力立牌和1000名幸运儿赠送任意一张小卡。中奖者将于4月23日（周三）下午6点左右收到通知。
*周边预计将于5月陆续寄出。
*详情请参阅活动页面。
https://ridibooks.com/event/80526
① 申请周边；② 完成付款并下载全部《女子学园的星光》电子书（第1-4卷）即可成功申请。
- 小卡将随机发放，共五种，不可选择或更换。
2025年4月3日凌晨00:56至2025年4月17日凌晨00:00"
120.jpg,"『빠졌어, 너에게』10쇄 한정 부록 : 메다카&니카이도 학생증 2종",目高优一 二阶堂明 双面学生证,"纸片子, 小卡",为你着迷（漫画）,"二阶堂明, 目高优一",,《为你着迷》印刷第10版纪念,5/15/23,N/A 赠品,韩国,https://x.com/yes24_official/status/1657990287095128067,韩国《为你着迷》第十刷纪念随书特典
121.jpg,초판 한정 부록 : 컬러 일러스트 포토카드 3종 세트 (도서 내 동봉),韩文版《女校之星3》首刷随书附赠小卡(共3张）,"纸片子, 小卡",女校之星（漫画）,"小林老师, 星老师",小林星 西装,《女校之星3》发行,5/14/23,N/A 赠品,韩国,https://x.com/kyobobookstory/status/1657937270736031744,
122.jpg,,女校1 韩文 二刷 抽奖赠品 小林星 亚克力 钥匙扣 挂件,亚克力挂件/钥匙环,女校之星（漫画）,"小林老师, 星老师",小林星 放大镜,,1/25/22,N/A 赠品,韩国,https://x.com/mundongcomics/status/1486141258745921537?s=20,"韩国MundongComics推特账号抽奖

为庆祝韩文版《女校之星1》的二刷，特举办抽奖活动：猜猜小林老师和星老师的昵称！

◆公布ㅣ将于2月7日（周一）抽出20名幸运儿 *私信通知

◆参与方式ㅣ转发一条语录或上传一条帖子

◆需添加话题标签ㅣ #GirlsSchoolStar #TeacherHoshi #TeacherKobayashi"
123.jpg,,小林老师生日特典：杯套,杯套,女校之星（漫画）,小林老师,小林老师 举粉笔,,6/25/22,N/A 赠品,韩国,https://x.com/mundongcomics/status/1539868047351001089,"韩国MundongComics为庆祝小林庆二老师6.30的生日，特别举办：
*在指定咖啡店，购买饮品即可获得小林老师杯套一个。
📌本次活动将于6月25日（周六）开始，但开放时间可能会略有变动，请在到访前确认。"
124.jpg,,小林老师生日特典：双面小卡,"纸片子, 小卡",女校之星（漫画）,小林老师,,,6/25/22,N/A 赠品,韩国,https://x.com/mundongcomics/status/1539868047351001090,"韩国MundongComics为庆祝小林庆二老师6.30的生日，特别举办：
*在指定书店，购买《女校之星》系列图书即可获赠小林老师双面照片卡。（每人每次限购2本）
📌本次活动将于6月25日（周六）开始，但开放时间可能会略有变动，请在到访前确认。

07/05/2022，小卡加印，作为线上书店购书赠品。"
125.jpg,,韩国5.15教师节 《女校之星》Cafe 买书特典 小卡（一套三张） ,"纸片子, 小卡",女校之星（漫画）,"小林老师, 星老师, 中村老师",,,5/14/24,N/A 赠品,韩国,https://x.com/munhakdongne/status/1921784559491858568,"韩国5.15教师节特别活动：《女校之星》Cafe

活动二

在咖啡厅购买一本或多本《女校之星》第1-4卷，即可获赠三张小卡。数量有限。"
126.jpg,,韩国5.15教师节 《女校之星》Cafe 杯套 ,杯套,女校之星（漫画）,"小林老师, 星老师, 中村老师","中村老师, 3个老师：星&小林&中村",,5/14/24,N/A 赠品,韩国,https://x.com/munhakdongne/status/1921784559491858569,"韩国5.15教师节特别活动：《女校之星》Cafe

活动三

每购买一瓶饮料，获赠“女校之星”杯套一个。

"
127.jpg,,韩国5.15教师节 《女校之星》买书特典 束口袋 ,收纳袋,女校之星（漫画）,,,,5/14/24,N/A 赠品,韩国,https://x.com/munhakdongne/status/1921784559491858569,
128.jpg,,韩国5.15教师节 《女校之星》Cafe 感谢卡 ,纸片子,女校之星（漫画）,,,,5/14/24,N/A 赠品,韩国,https://x.com/munhakdongne/status/1921784559491858570,"韩国5.15教师节特别活动：《女校之星》Cafe

活动四

“谢谢老师” 表达你的感激之情， 给星老师、小林老师和中村老师写感谢卡。

"
129.jpg,,韩国5.15教师节 《女校之星》Cafe 特典纸 ,纸片子,女校之星（漫画）,,女校之星 古川&鸟井,,5/14/24,N/A 抽奖赠品,韩国,https://x.com/munhakdongne/status/1921784559491858572,"韩国5.15教师节特别活动：《女校之星》Cafe

活动一

所有到访咖啡厅的顾客都将免费获赠一张印有作者山山和山亲笔签名的明信片。"
130.jpg,『가라오케 가자!』+블랙기업 야쿠자 명합 & 탑로더 세트,韩国版 《去唱卡拉OK吧！》随书附赠 成田狂儿 双面名片,名片/名片夹,去唱卡拉OK吧 （漫画）,成田狂儿,,,,N/A 赠品,韩国,,
131.jpg,,韩国版 《去唱卡拉OK吧！》书店特典 纹身贴,贴纸,去唱卡拉OK吧 （漫画）,"成田狂儿, 冈聪实","狂儿 聪实纹身, 聪实 狂儿 TV对视",,,N/A 赠品,韩国,,
132.jpg,"カラオケ⾏こ！
Blu-ray BOX",,DVD/蓝光碟,去唱卡拉OK吧（动画）,"成田狂儿, 冈聪实",,,12/24/25,"16,500",日本,,"首刷限定版内容：
①蓝光光碟（全5话）
② 和山山原画复制色纸：成田狂儿
③ 优先活动门票申请表
【日期】2026年2月8日（星期日）
【地点】海老名市文化中心本厅
【演出阵容】
《去唱卡拉OK吧！》动画版配音 堀江瞬（饰 冈聪实）、小野大辅（饰 成田狂儿）
*日期和演出阵容如有变更，恕不另行通知。
*具体演出时间等详情，将另行公布。
④ 原版贴纸
⑤ 特制小册子"
133.jpg,"カラオケ⾏こ！
DVD BOX",,DVD/蓝光碟,去唱卡拉OK吧（动画）,"成田狂儿, 冈聪实",,,12/24/25,"14,300",日本,,"首刷限定版内容：
①DVD光碟（全5话）
② 和山山原画复制色纸：成田狂儿
③ 优先活动门票申请表
【日期】2026年2月8日（星期日）
【地点】海老名市文化中心本厅
【演出阵容】
《去唱卡拉OK吧！》动画版配音 堀江瞬（饰 冈聪实）、小野大辅（饰 成田狂儿）
*日期和演出阵容如有变更，恕不另行通知。
*具体演出时间等详情，将另行公布。
④ 原版贴纸
⑤ 特制小册子"
